date;steps_n;proteins_g;kcal_in;kcal_junk_in;kcal_out_training;sleep_hours;stress_rel;weight_kg;waist_cm;;;
19/01/2025;5000;160;2000;881;48;6;2;70;100;;;424
18/01/2025;5000;160;2000;879;50;7;4;70;100;;;425
17/01/2025;5000;160;2000;876;52;8;9;70,2;100;;;426
16/01/2025;5000;160;2000;873;54;9;3;70,4;100;;;427
15/01/2025;5000;160;2000;871;56;6;6;70,7;100;;;428
14/01/2025;5000;160;2000;868;58;9;4;71,2;100;;;429
13/01/2025;5000;160;2000;865;60;8;1;71,7;100;;;430
12/01/2025;5000;160;2000;863;62;6;6;72,3;100;;;431
11/01/2025;5000;160;2000;860;64;7;9;73;100;;;432
10/01/2025;5000;160;2000;858;66;9;9;73,7;100;;;433
09/01/2025;5000;160;2000;855;68;7;8;74,5;100;;;434
08/01/2025;5000;160;2000;852;70;8;1;75,4;100;;;435
07/01/2025;5000;160;2000;850;72;10;9;76,3;100;;;436
06/01/2025;5000;160;2000;847;74;9;5;77,2;100;;;437
05/01/2025;5000;160;2000;844;76;8;10;78,2;100;;;438
04/01/2025;5000;160;2000;842;78;7;6;79,2;100;;;439
03/01/2025;5000;160;2000;839;80;10;6;80,2;100;;;440
02/01/2025;5000;160;2000;836;82;7;7;81,2;100;;;441
01/01/2025;5000;160;2000;834;84;8;2;82,2;100;;;442
31/12/2024;5000;160;2000;831;86;10;7;83,1;100;;;443
30/12/2024;5000;160;2000;829;88;9;8;84,1;100;;;444
29/12/2024;5000;160;2000;826;90;7;8;84,9;100;;;445
28/12/2024;5000;160;2000;823;92;9;9;85,8;100;;;446
27/12/2024;5000;160;2000;821;94;8;9;86,6;100;;;447
26/12/2024;5000;160;2000;818;96;6;3;87,3;100;;;448
25/12/2024;5000;160;2000;815;98;7;2;87,9;100;;;449
24/12/2024;5000;160;2000;813;100;8;6;88,5;100;;;450
23/12/2024;5000;160;2000;810;102;9;3;89;100;;;451
22/12/2024;5000;160;2000;807;104;6;2;89,4;100;;;452
21/12/2024;5000;160;2000;805;106;9;5;89,7;100;;;453
20/12/2024;5000;160;2000;802;108;8;5;89,9;100;;;454
19/12/2024;5000;160;2000;800;110;6;6;90;100;;;455
18/12/2024;5000;160;2000;797;112;7;2;90;100;;;456
17/12/2024;5000;160;2000;794;114;9;10;89,9;100;;;457
16/12/2024;5000;160;2000;792;116;7;9;89,7;100;;;458
15/12/2024;5000;160;2000;789;118;8;4;89,4;100;;;459
14/12/2024;5000;160;2000;786;120;10;7;89;100;;;460
13/12/2024;5000;160;2000;784;122;9;5;88,5;100;;;461
12/12/2024;5000;160;2000;781;124;8;7;88;100;;;462
11/12/2024;5000;160;2000;778;126;7;2;87,3;100;;;463
10/12/2024;5000;160;2000;776;128;10;1;86,6;100;;;464
09/12/2024;5000;160;2000;773;130;7;2;85,8;100;;;465
08/12/2024;5000;160;2000;770;132;8;10;85;100;;;466
07/12/2024;5000;120;2000;768;134;10;5;84,1;100;;;467
06/12/2024;5000;120;2000;765;136;9;6;83,2;100;;;468
05/12/2024;5000;120;2000;763;138;7;10;82,2;100;;;469
04/12/2024;5000;120;2000;760;140;9;1;81,2;100;;;470
03/12/2024;5000;120;2000;757;142;8;8;80,2;100;;;471
02/12/2024;5000;120;2000;755;144;6;2;79,2;100;;;472
01/12/2024;5000;120;2000;752;146;7;9;78,2;100;;;473
30/11/2024;5000;120;2000;749;148;8;8;77,3;100;;;474
29/11/2024;5000;120;2000;747;150;9;7;76,3;100;;;475
28/11/2024;5000;120;2000;744;152;6;8;75,4;100;;;476
27/11/2024;5000;120;2000;741;154;9;1;74,6;100;;;477
26/11/2024;5000;120;2000;739;156;8;5;73,7;100;;;478
25/11/2024;5000;120;2000;736;158;6;5;73;100;;;479
24/11/2024;5000;120;2000;734;160;7;3;72,3;100;;;480
23/11/2024;5000;120;2000;731;162;9;10;71,7;100;;;481
22/11/2024;5000;120;2000;728;164;7;9;71,2;100;;;482
21/11/2024;5000;120;2000;726;166;8;8;70,8;100;;;483
20/11/2024;5000;120;2000;723;168;10;1;70,4;100;;;484
19/11/2024;5000;120;2000;720;170;9;9;70,2;100;;;485
18/11/2024;5000;120;2000;718;172;8;6;70;100;;;486
17/11/2024;5000;120;2000;715;174;7;3;70;100;;;487
16/11/2024;5000;120;2000;712;176;10;1;70,1;100;;;488
15/11/2024;5000;120;2000;710;178;7;9;70,2;100;;;489
14/11/2024;5000;120;2000;707;180;8;7;70,5;100;;;490
13/11/2024;5000;120;2000;705;182;10;4;70,8;100;;;491
12/11/2024;5000;120;2000;702;184;9;3;71,2;100;;;492
11/11/2024;5000;120;2000;699;186;7;8;71,8;100;;;493
10/11/2024;5000;120;2000;697;188;9;3;72,4;100;;;494
09/11/2024;5000;120;2000;694;190;8;3;73,1;100;;;495
08/11/2024;5000;120;2000;691;192;6;6;73,8;100;;;496
07/11/2024;5000;120;2000;689;194;7;10;74,6;100;;;497
06/11/2024;5000;120;2000;686;196;8;6;75,5;100;;;498
05/11/2024;5000;120;2000;683;198;9;6;76,4;100;;;499
04/11/2024;5000;120;2000;681;200;6;5;77,4;100;;;500
03/11/2024;5000;120;2000;678;202;9;2;78,4;90;;;501
02/11/2024;5000;120;2000;676;204;8;10;79,3;90;;;502
01/11/2024;5000;120;2000;673;206;6;10;80,3;90;;;503
31/10/2024;5000;120;2000;670;208;7;6;81,3;90;;;504
30/10/2024;5000;120;2000;668;210;9;1;82,3;90;;;505
29/10/2024;5000;120;2000;665;212;7;5;83,3;90;;;506
28/10/2024;5000;120;2000;662;214;8;6;84,2;90;;;507
27/10/2024;5000;120;2000;660;216;10;3;85,1;90;;;508
26/10/2024;5000;120;2000;657;218;9;8;85,9;90;;;509
25/10/2024;5000;120;2000;654;220;8;4;86,7;90;;;510
24/10/2024;5000;120;2000;652;222;7;2;87,4;90;;;511
23/10/2024;5000;120;2000;649;224;10;7;88;90;;;512
22/10/2024;5000;120;2000;646;226;7;1;88,6;90;;;513
21/10/2024;5000;120;2000;644;228;8;6;89,1;90;;;514
20/10/2024;5000;120;2000;641;230;10;8;89,4;90;;;515
19/10/2024;5000;120;2000;639;232;9;5;89,7;90;;;516
18/10/2024;5000;120;2000;636;234;7;1;89,9;90;;;517
17/10/2024;5000;120;2000;633;236;9;3;90;90;;;518
16/10/2024;5000;120;2000;631;238;8;1;90;90;;;519
15/10/2024;5000;120;2000;628;240;6;3;89,9;90;;;520
14/10/2024;5000;120;2000;625;242;7;4;89,7;90;;;521
13/10/2024;5000;120;2000;623;244;8;7;89,3;90;;;522
12/10/2024;5000;120;2000;620;246;9;2;88,9;90;;;523
11/10/2024;5000;120;2000;617;248;6;3;88,5;90;;;524
10/10/2024;5000;120;2000;615;250;9;5;87,9;90;;;525
09/10/2024;5000;120;2000;612;252;8;2;87,2;90;;;526
08/10/2024;5000;120;2000;610;254;6;8;86,5;90;;;527
07/10/2024;5000;120;2000;607;256;7;10;85,7;90;;;528
06/10/2024;5000;120;2000;604;258;9;2;84,9;90;;;529
05/10/2024;5000;120;2000;602;260;7;5;84;90;;;530
04/10/2024;5000;120;2000;599;262;8;7;83;90;;;531
03/10/2024;5000;120;2000;596;264;10;10;82,1;90;;;532
02/10/2024;5000;80;2000;594;266;9;6;81,1;90;;;533
01/10/2024;5000;80;2000;591;268;8;7;80,1;90;;;534
30/09/2024;5000;80;2000;588;270;7;2;79,1;90;;;535
29/09/2024;5000;80;2000;586;272;10;5;78,1;90;;;536
28/09/2024;5000;80;2000;583;274;7;7;77,1;90;;;537
27/09/2024;5000;80;2000;581;276;8;8;76,2;90;;;538
26/09/2024;5000;80;2000;578;278;10;9;75,3;90;;;539
25/09/2024;5000;80;2000;575;280;9;3;74,4;90;;;540
24/09/2024;5000;80;2000;573;282;7;10;73,6;90;;;541
23/09/2024;5000;80;2000;570;284;9;7;72,9;90;;;542
22/09/2024;5000;80;2000;567;286;8;2;72,2;90;;;543
21/09/2024;5000;80;2000;565;288;6;9;71,6;90;;;544
20/09/2024;5000;80;2000;562;290;7;10;71,1;90;;;545
19/09/2024;5000;80;2000;559;292;8;3;70,7;90;;;546
18/09/2024;5000;80;2000;557;294;9;5;70,4;90;;;547
17/09/2024;5000;80;2000;554;296;6;1;70,2;90;;;548
16/09/2024;5000;80;2000;552;298;9;7;70;90;;;549
15/09/2024;5000;80;2000;549;300;8;10;70;90;;;550
14/09/2024;5000;80;2000;546;302;6;9;70,1;90;;;551
13/09/2024;5000;80;2000;544;304;7;7;70,2;90;;;552
12/09/2024;5000;80;2000;541;306;9;5;70,5;90;;;553
11/09/2024;5000;80;2000;538;308;7;4;70,9;90;;;554
10/09/2024;5000;80;2000;536;310;8;7;71,3;90;;;555
09/09/2024;5000;80;2000;533;312;10;1;71,9;90;;;556
08/09/2024;5000;80;2000;530;314;9;7;72,5;90;;;557
07/09/2024;5000;80;2000;528;316;8;2;73,2;90;;;558
06/09/2024;5000;80;2000;525;318;7;1;74;90;;;559
05/09/2024;5000;80;2000;522;320;10;3;74,8;90;;;560
04/09/2024;5000;80;2000;520;322;7;8;75,7;90;;;561
03/09/2024;5000;80;2000;517;324;8;1;76,6;90;;;562
02/09/2024;5000;80;2000;515;326;10;1;77,5;90;;;563
01/09/2024;5000;80;2000;512;328;9;1;78,5;90;;;564
31/08/2024;5000;80;2000;509;330;7;3;79,5;90;;;565
30/08/2024;5000;80;2000;507;332;9;9;80,5;90;;;566
29/08/2024;5000;80;2000;504;334;8;9;81,5;90;;;567
28/08/2024;5000;80;2000;501;336;6;9;82,5;90;;;568
27/08/2024;5000;80;2000;499;338;7;4;83,4;90;;;569
26/08/2024;5000;80;2000;496;340;8;3;84,4;90;;;570
25/08/2024;5000;80;2000;493;342;9;5;85,2;90;;;571
24/08/2024;5000;80;2000;491;344;6;3;86,1;90;;;572
23/08/2024;5000;80;2000;488;346;9;10;86,8;90;;;573
22/08/2024;5000;80;2000;486;348;8;5;87,5;90;;;574
21/08/2024;5000;80;2000;483;350;6;3;88,1;90;;;575
20/08/2024;5000;80;2000;480;352;7;6;88,7;90;;;576
19/08/2024;5000;80;2000;478;354;9;9;89,1;90;;;577
18/08/2024;5000;80;2000;475;356;7;7;89,5;90;;;578
17/08/2024;5000;80;2000;472;358;8;8;89,8;90;;;579
16/08/2024;5000;80;2000;470;360;10;9;89,9;90;;;580
15/08/2024;5000;80;2000;467;362;9;10;90;90;;;581
14/08/2024;5000;80;2000;464;364;8;9;90;90;;;582
13/08/2024;5000;80;2000;462;366;7;4;89,8;90;;;583
12/08/2024;5000;80;2000;459;368;10;8;89,6;90;;;584
11/08/2024;5000;80;2000;457;370;7;2;89,3;90;;;585
10/08/2024;5000;80;2000;454;372;8;3;88,9;90;;;586
09/08/2024;5000;80;2000;451;374;10;8;88,4;90;;;587
08/08/2024;5000;80;2000;449;376;9;3;87,8;90;;;588
07/08/2024;5000;80;2000;446;378;7;7;87,1;90;;;589
06/08/2024;5000;80;2000;443;380;9;9;86,4;90;;;590
05/08/2024;5000;80;2000;441;382;8;1;85,6;90;;;591
04/08/2024;5000;80;2000;438;384;6;10;84,7;90;;;592
03/08/2024;5000;80;2000;435;386;7;7;83,8;90;;;593
02/08/2024;5000;80;2000;433;388;8;1;82,9;90;;;594
01/08/2024;5000;80;2000;430;390;9;10;81,9;90;;;595
31/07/2024;5000;80;2000;427;392;6;1;80,9;90;;;596
30/07/2024;5000;80;2000;425;394;9;9;79,9;90;;;597
29/07/2024;5000;80;2000;422;396;8;5;78,9;90;;;598
28/07/2024;5000;80;2000;420;398;6;10;77,9;90;;;599
27/07/2024;5000;160;2000;417;0;7;1;77;100;;;600
26/07/2024;5000;160;2000;414;2;9;4;76;100;;;601
25/07/2024;5000;160;2000;412;4;7;9;75,1;100;;;602
24/07/2024;5000;160;2000;409;6;8;2;74,3;100;;;603
23/07/2024;5000;160;2000;406;8;10;9;73,5;100;;;604
22/07/2024;5000;160;2000;404;10;9;7;72,8;100;;;605
21/07/2024;5000;160;2000;401;12;8;7;72,1;100;;;606
20/07/2024;5000;160;2000;398;14;7;4;71,5;100;;;607
19/07/2024;5000;160;2000;396;16;10;5;71;100;;;608
18/07/2024;5000;160;2000;393;18;7;3;70,6;100;;;609
17/07/2024;5000;160;2000;391;20;8;10;70,3;100;;;610
16/07/2024;5000;160;2000;388;22;10;10;70,1;100;;;611
15/07/2024;5000;160;2000;385;24;9;2;70;100;;;612
14/07/2024;5000;160;2000;383;26;7;5;70;100;;;613
13/07/2024;5000;160;2000;380;28;9;8;70,1;100;;;614
12/07/2024;5000;160;2000;377;30;8;1;70,3;100;;;615
11/07/2024;5000;160;2000;375;32;6;1;70,6;100;;;616
10/07/2024;5000;160;2000;372;34;7;7;70,9;100;;;617
09/07/2024;5000;160;2000;369;36;8;3;71,4;100;;;618
08/07/2024;5000;160;2000;367;38;9;10;72;100;;;619
07/07/2024;5000;160;2000;364;40;6;4;72,6;100;;;620
06/07/2024;5000;160;2000;362;42;9;4;73,3;100;;;621
05/07/2024;5000;160;2000;359;44;8;2;74,1;100;;;622
04/07/2024;5000;160;2000;356;46;6;7;74,9;100;;;623
03/07/2024;5000;160;2000;354;48;7;7;75,8;100;;;624
02/07/2024;5000;160;2000;351;50;9;8;76,7;100;;;625
01/07/2024;5000;160;2000;348;52;7;2;77,7;100;;;626
30/06/2024;5000;160;2000;346;54;8;2;78,7;100;;;627
29/06/2024;5000;160;2000;343;56;10;5;79,7;100;;;628
28/06/2024;5000;160;2000;340;58;9;2;80,7;100;;;629
27/06/2024;5000;160;2000;338;60;8;1;81,7;100;;;630
26/06/2024;5000;160;2000;335;62;7;3;82,6;100;;;631
25/06/2024;5000;160;2000;333;64;10;7;83,6;100;;;632
24/06/2024;5000;160;2000;330;66;7;10;84,5;100;;;633
23/06/2024;5000;160;2000;327;68;8;6;85,4;100;;;634
22/06/2024;5000;160;2000;325;70;10;3;86,2;100;;;635
21/06/2024;5000;160;2000;322;72;9;4;86,9;100;;;636
20/06/2024;5000;160;2000;319;74;7;1;87,6;100;;;637
19/06/2024;5000;160;2000;317;76;9;7;88,2;100;;;638
18/06/2024;5000;160;2000;314;78;8;10;88,8;100;;;639
17/06/2024;5000;160;2000;311;80;6;7;89,2;100;;;640
16/06/2024;5000;160;2000;309;82;7;7;89,5;100;;;641
15/06/2024;5000;160;2000;306;84;8;10;89,8;100;;;642
14/06/2024;5000;160;2000;303;86;9;10;89,9;100;;;643
13/06/2024;5000;160;2000;301;88;6;2;90;100;;;644
12/06/2024;5000;160;2000;298;90;9;5;90;100;;;645
11/06/2024;5000;160;2000;296;92;8;8;89,8;100;;;646
10/06/2024;5000;160;2000;293;94;6;2;89,6;100;;;647
09/06/2024;5000;160;2000;290;96;7;3;89,2;100;;;648
08/06/2024;5000;160;2000;288;98;9;1;88,8;100;;;649
07/06/2024;5000;160;2000;285;100;7;9;88,3;100;;;650
06/06/2024;5000;160;2000;282;102;8;7;87,7;100;;;651
05/06/2024;5000;160;2000;280;104;10;4;87;100;;;652
04/06/2024;5000;160;2000;277;106;9;3;86,2;100;;;653
03/06/2024;5000;160;2000;274;108;8;10;85,4;100;;;654
02/06/2024;5000;160;2000;272;110;7;8;84,6;100;;;655
01/06/2024;5000;160;2000;269;112;10;7;83,6;100;;;656
31/05/2024;5000;160;2000;267;114;7;5;82,7;100;;;657
30/05/2024;5000;160;2000;264;116;8;9;81,7;100;;;658
29/05/2024;5000;160;2000;261;118;10;3;80,7;100;;;659
28/05/2024;5000;160;2000;259;120;9;9;79,7;100;;;660
27/05/2024;5000;160;2000;256;122;7;9;78,7;100;;;661
26/05/2024;5000;160;2000;253;124;9;8;77,8;100;;;662
25/05/2024;5000;160;2000;251;126;8;2;76,8;100;;;663
24/05/2024;5000;160;2000;248;128;6;1;75,9;100;;;664
23/05/2024;5000;160;2000;245;130;7;4;75;100;;;665
22/05/2024;5000;160;2000;243;132;8;3;74,1;100;;;666
21/05/2024;5000;120;2000;240;134;9;2;73,4;100;;;667
20/05/2024;5000;120;2000;238;136;6;2;72,6;100;;;668
19/05/2024;5000;120;2000;235;138;9;7;72;100;;;669
18/05/2024;5000;120;2000;232;140;8;5;71,4;100;;;670
17/05/2024;5000;120;2000;230;142;6;6;71;100;;;671
16/05/2024;5000;120;2000;227;144;7;9;70,6;100;;;672
15/05/2024;5000;120;2000;224;146;9;7;70,3;100;;;673
14/05/2024;5000;120;2000;222;148;7;7;70,1;100;;;674
13/05/2024;5000;120;2000;219;150;8;1;70;100;;;675
12/05/2024;5000;120;2000;216;152;10;10;70;100;;;676
11/05/2024;5000;120;2000;214;154;9;10;70,1;100;;;677
10/05/2024;5000;120;2000;211;156;8;6;70,3;100;;;678
09/05/2024;5000;120;2000;208;158;7;5;70,6;100;;;679
08/05/2024;5000;120;2000;206;160;10;8;71;100;;;680
07/05/2024;5000;120;2000;203;162;7;3;71,5;100;;;681
06/05/2024;5000;120;2000;201;164;8;9;72,1;100;;;682
05/05/2024;5000;120;2000;198;166;10;10;72,7;100;;;683
04/05/2024;5000;120;2000;195;168;9;1;73,4;100;;;684
03/05/2024;5000;120;2000;193;170;7;1;74,2;100;;;685
02/05/2024;5000;120;2000;190;172;9;10;75,1;100;;;686
01/05/2024;5000;120;2000;187;174;8;3;76;100;;;687
30/04/2024;5000;120;2000;185;176;6;5;76,9;100;;;688
29/04/2024;5000;120;2000;182;178;7;10;77,9;100;;;689
28/04/2024;5000;120;2000;179;180;8;7;78,9;100;;;690
27/04/2024;5000;120;2000;177;182;9;6;79,8;100;;;691
26/04/2024;5000;120;2000;174;184;6;8;80,8;100;;;692
25/04/2024;5000;120;2000;172;186;9;10;81,8;100;;;693
24/04/2024;5000;120;2000;169;188;8;2;82,8;100;;;694
23/04/2024;5000;120;2000;166;190;6;7;83,8;100;;;695
22/04/2024;5000;120;2000;164;192;7;2;84,7;100;;;696
21/04/2024;5000;120;2000;161;194;9;8;85,5;100;;;697
20/04/2024;5000;120;2000;158;196;7;10;86,3;100;;;698
19/04/2024;5000;120;2000;156;198;8;3;87,1;100;;;699
18/04/2024;5000;120;2000;153;200;10;3;87,7;100;;;700
17/04/2024;5000;120;2000;150;202;9;3;88,3;90;;;701
16/04/2024;5000;120;2000;148;204;8;9;88,8;90;;;702
15/04/2024;5000;120;2000;145;206;7;1;89,3;90;;;703
14/04/2024;5000;120;2000;143;208;10;3;89,6;90;;;704
13/04/2024;5000;120;2000;140;210;7;9;89,8;90;;;705
12/04/2024;5000;120;2000;137;212;8;6;90;90;;;706
11/04/2024;5000;120;2000;135;214;10;2;90;90;;;707
10/04/2024;5000;120;2000;132;216;9;6;89,9;90;;;708
09/04/2024;5000;120;2000;129;218;7;5;89,8;90;;;709
08/04/2024;5000;120;2000;127;220;9;10;89,5;90;;;710
07/04/2024;5000;120;2000;124;222;8;2;89,2;90;;;711
06/04/2024;5000;120;2000;121;224;6;9;88,7;90;;;712
05/04/2024;5000;120;2000;119;226;7;2;88,2;90;;;713
04/04/2024;5000;120;2000;116;228;8;1;87,6;90;;;714
03/04/2024;5000;120;2000;114;230;9;10;86,9;90;;;715
02/04/2024;5000;120;2000;111;232;6;2;86,1;90;;;716
01/04/2024;5000;120;2000;108;234;9;9;85,3;90;;;717
31/03/2024;5000;120;2000;106;236;8;7;84,4;90;;;718
30/03/2024;5000;120;2000;103;238;6;6;83,5;90;;;719
29/03/2024;5000;120;2000;100;240;7;1;82,5;90;;;720
28/03/2024;5000;120;2000;98;242;9;9;81,6;90;;;721
27/03/2024;5000;120;2000;95;244;7;10;80,6;90;;;722
26/03/2024;5000;120;2000;92;246;8;6;79,6;90;;;723
25/03/2024;5000;120;2000;90;248;10;9;78,6;90;;;724
24/03/2024;5000;120;2000;87;250;9;10;77,6;90;;;725
23/03/2024;5000;120;2000;84;252;8;7;76,6;90;;;726
22/03/2024;5000;120;2000;82;254;7;3;75,7;90;;;727
21/03/2024;5000;120;2000;79;256;10;3;74,8;90;;;728
20/03/2024;5000;120;2000;77;258;7;9;74;90;;;729
19/03/2024;5000;120;2000;74;260;8;2;73,2;90;;;730
18/03/2024;5000;120;2000;71;262;10;9;72,5;90;;;731
17/03/2024;5000;120;2000;69;264;9;1;71,9;90;;;732
16/03/2024;5000;80;2000;66;266;7;7;71,4;90;;;733
15/03/2024;5000;80;2000;63;268;9;10;70,9;90;;;734
14/03/2024;5000;80;2000;61;270;8;6;70,5;90;;;735
13/03/2024;5000;80;2000;58;272;6;7;70,3;90;;;736
12/03/2024;5000;80;2000;55;274;7;3;70,1;90;;;737
11/03/2024;5000;80;2000;53;276;8;7;70;90;;;738
10/03/2024;5000;80;2000;50;278;9;4;70;90;;;739
09/03/2024;5000;80;2000;48;280;6;9;70,1;90;;;740
08/03/2024;5000;80;2000;45;282;9;10;70,4;90;;;741
07/03/2024;5000;80;2000;42;284;8;8;70,7;90;;;742
06/03/2024;5000;80;2000;40;286;6;9;71,1;90;;;743
05/03/2024;5000;80;2000;37;288;7;10;71,6;90;;;744
04/03/2024;5000;80;2000;34;290;9;10;72,2;90;;;745
03/03/2024;5000;80;2000;32;292;7;5;72,8;90;;;746
02/03/2024;5000;80;2000;29;294;8;6;73,6;90;;;747
01/03/2024;5000;80;2000;26;296;10;5;74,4;90;;;748
29/02/2024;5000;80;2000;24;298;9;3;75,2;90;;;749
28/02/2024;5000;80;2000;21;300;8;2;76,1;90;;;750
27/02/2024;5000;80;2000;19;302;7;7;77,1;90;;;751
26/02/2024;5000;80;2000;16;304;10;6;78;90;;;752
25/02/2024;5000;80;2000;13;306;7;6;79;90;;;753
24/02/2024;5000;80;2000;11;308;8;4;80;90;;;754
23/02/2024;5000;80;2000;8;310;10;5;81;90;;;755
22/02/2024;5000;80;2000;5;312;9;3;82;90;;;756
21/02/2024;5000;80;2000;3;314;7;6;83;90;;;757
20/02/2024;5000;80;2000;0;316;9;3;83,9;90;;;758
